id;idVegetable;numPeriod;startPeriod;endPeriod;value
1;1;0;Fin Levée;Formation Bulbe;0.5
2;1;1;Formation Bulbe;Grossissement maxi;0.9
3;1;2;Grossissement maxi;20 jours avant récolte;0.6
4;2;0;Plantation;Début Floraison;0.5
5;2;1;Début Floraison;Croissance 3e étage;0.6
6;2;2;Croissance 3e étage;Mi-récolte;0.9
7;2;3;Mi-récolte;Fin culture;0.6
8;3;0;Semis;30 jours après semis;0.5
9;3;1;30 jours après semis;Début tubérisation;0.7
10;3;2;Début tubérisation;Récolte;1.0
11;12;0;Plantation;1ères inflorescences;0.5
12;12;1;1ères inflorescences;Début formation chou;1.0
13;12;2;Début formation chou;Récolte;1.3
14;15;0;Plantation;Floraison;0.5
15;15;1;Floraison;Mi-récolte;1.0
16;15;2;Mi-récolte;Fin récolte;0.7
17;16;0;Plantation;Floraison;0.5
18;16;1;Floraison;Mi-récolte;1.0
19;16;2;Mi-récolte;Fin récolte;0.7
20;22;0;30 jours après levée;Floraison;0.6
21;22;1;Floraison;Formation goussesage;0.8
22;22;2;Formation goussesage;Récolte;1.0
23;23;0;Plantation;Début croissance active;0.4
24;23;1;Début croissance active;Récolte;0.7
25;26;0;Levée;30 jours après levée;0.6
26;26;1;30 jours après levée;60 jours après levée;0.8
27;26;2;60 jours après levée;Début maturité;1.0
28;26;3;Début maturité;20 jours avant récolte;1.1
29;26;4;20 jours avant récolte;Récolte;0.5
30;29;0;Plantation;Début Floraison;0.5
31;29;1;Début Floraison;Croissance 3e étage;0.6
32;29;2;Croissance 3e étage;Mi-Récolte;0.7
33;29;3;Mi-Récolte;Fin récolte;0.6
34;30;0;Plantation;Récolte;0.7
35;31;0;Levée;5 feuilles;0.5
36;31;1;5 feuilles;7 feuilles;0.7
37;31;2;7 feuilles;9 feuilles;0.9
38;31;3;9 feuilles;Début Floraison;1.0
39;31;4;Début Floraison;Maturité;1.2
40;32;0;Plantation;Début Floraison;0.5
41;32;1;Début Floraison;Croissance 3e étage;0.6
42;32;2;Croissance 3e étage;Mi-Récolte;0.7
43;32;3;Mi-Récolte;Fin récolte;0.6
44;33;0;Levée;20 jours après levée;0.5
45;33;1;20 jours après levée;Fin tubérisation;1.1
46;33;2;Fin tubérisation;20 jours avant récolte;0.8
47;35;0;Plantation;Reprise;0.2
48;35;1;Reprise;Floraison 3e bouquet;0.6
49;35;2;Floraison 3e bouquet;Mi-Récolte;0.9
50;35;3;Mi-Récolte;Fin Culture;0.7
